ID	Front	Back	Notes	Tags
cum-2e4a518c43	Англия	Inghilterra		paesi-e-lingue lez-7
cum-542237d7d0	Германия	Germania		paesi-e-lingue lez-7
cum-b411e36e62	Испания	Spagna		paesi-e-lingue lez-7
cum-f41b4f5362	Италия	Italia		paesi-e-lingue lez-7
cum-d780246947	Как дела? Так себе.	Come va? Così così.		espressioni-utili
cum-02ba26001b	Китай	Cina		paesi-e-lingue lez-7
cum-3efc914041	Ни пуха ни пера!	In bocca al lupo!		espressioni-utili
cum-883f64a212	Новый год	Capodanno		feste lez-11
cum-5805386a71	Пасха	Pasqua		feste lez-11
cum-070ea84f22	Приятно познакомиться.	Piacere di conoscerti.		espressioni-utili
cum-95806aea9a	Рождество	Natale		feste lez-11
cum-3d9a48af9c	Россия	Russia		paesi-e-lingue lez-7
cum-46038da0d2	С удовольствием.	Con piacere.		espressioni-utili
cum-109a274650	США	USA		paesi-e-lingue lez-7
cum-746e4dfd65	Сколько это стоит?	Quanto costa?		frasi-base
cum-0288d7723a	Спасибо большое.	Grazie mille.		frasi-base
cum-7a4a97adbc	Франция	Francia		paesi-e-lingue lez-7
cum-88cbc60a97	Я хочу пить.	Ho sete.		espressioni-utili
cum-c96bc9b727	Я хочу спать.	Ho sonno.		espressioni-utili
cum-51b4eac98a	а	invece		pronomi-e-connettori lez-6
cum-4c19ee7021	август	agosto		tempo-e-date lez-14
cum-6bc4f27db6	адвокат	avvocato		professioni lez-2
cum-27de6a513b	активный	attivo		aggettivi lez-13
cum-817dfcab1f	альбом	album		casa-e-oggetti
cum-5307137d11	апельсин	arancia		cibo-e-bevande lez-2
cum-b8417ac153	апельсины	arance		cibo-e-bevande lez-2
cum-54d1964873	апрель	aprile		tempo-e-date lez-1 lez-14
cum-147e7ba6cf	аптека	farmacia		luoghi-in-citta lez-4
cum-fa8bed3c2d	арбуз	anguria		cibo-e-bevande lez-2
cum-e0e9919b8d	артишок	carciofo		cibo-e-bevande
cum-d84e11529a	аэропорт	aeroporto		viaggi-e-trasporti lez-4
cum-84eef73650	бабушка	nonna		persone-e-famiglia lez-3
cum-0ccedf5e1a	багаж	bagaglio		viaggi-e-trasporti
cum-7c37fee7e8	баклажан	melanzana		cibo-e-bevande lez-3
cum-f13a20c327	банан	banana		cibo-e-bevande lez-3
cum-88bdf28486	банк	banca		luoghi-in-citta lez-4
cum-9898e3fe0d	барабаны	batteria		musica-e-strumenti lez-14
cum-61e6e6145f	баскетбол	basket		sport-e-giochi lez-14
cum-e776372576	бассейн	piscina		viaggi-e-trasporti lez-4
cum-d3dca3a17e	батат	patata dolce		cibo-e-bevande lez-3
cum-ddf4b2a2c5	бегать	correre		verbi lez-6
cum-cef573eda3	бедный	povero		aggettivi lez-11
cum-8380476a4e	бензин	benzina		viaggi-e-trasporti lez-4
cum-e19a910cc9	берег	riva		natura-e-luoghi lez-14
cum-8985e6c269	близко	vicino		avverbi lez-4
cum-4d3ecea604	блюдо	piatto		cibo-e-bevande lez-11
cum-00f0f752ce	богатый	ricco		aggettivi lez-11
cum-51b1afc96a	более или менее	più o meno		avverbi lez-2
cum-c8a2708216	больница	ospedale		luoghi-in-citta lez-4
cum-1729d886b4	большое спасибо	grazie mille		saluti-e-cortesia lez-1
cum-f99234001a	большой	grande		aggettivi lez-11
cum-4fcce0e49f	брат	fratello		persone-e-famiglia lez-3
cum-fa2d560253	брюки	pantaloni		abbigliamento lez-3
cum-30997b32a6	будущее	futuro		tempo-e-date lez-12
cum-225f950d64	буква	lettera		scuola-e-lingua lez-2
cum-8ecc2afd6a	бумага	carta		scuola-e-lingua lez-10
cum-788e5651ad	бутерброд	panino		cibo-e-bevande lez-7
cum-d4a5c7e862	бутылка	bottiglia		stoviglie-e-posate lez-1
cum-b7595f4a84	быстро	velocemente		avverbi lez-7
cum-eedb8a9a9f	быстрый	veloce		aggettivi lez-11
cum-763b46732f	быть	essere		verbi
cum-b85a867f02	вам нравится	vi piace		gusti-e-preferenze lez-9
cum-bf2f2ef637	варенье	marmellata		cibo-e-bevande lez-14
cum-db96e918fc	вас	voi		pronomi-e-connettori lez-2
cum-40aeb5964b	велосипед	bicicletta		viaggi-e-trasporti lez-1
cum-1b2574531b	весна	primavera		tempo-e-date lez-14
cum-29f39654dd	весь	tutto		aggettivi lez-7
cum-11c64a2940	ветер	vento		meteo-e-stagioni lez-14
cum-98b5bdb5ed	ветрено	ventoso		avverbi lez-14
cum-6785f4be85	ветреный	ventoso		meteo-e-stagioni
cum-8f2cc90d81	вечер	sera		tempo-e-date lez-8
cum-d9c82b4cb5	вещи	oggetti		casa-e-oggetti lez-13
cum-e380f5cc1b	вещь	cosa		scuola-e-lingua
cum-f9b1872f93	вилка	forchetta		stoviglie-e-posate lez-4
cum-ac88dfbc31	вино	vino		cibo-e-bevande lez-7
cum-b4c7a7c766	виноград	uva		cibo-e-bevande lez-3
cum-c7807ae7df	висеть	essere appeso		verbi lez-13
cum-417430471e	вишня	ciliegia		cibo-e-bevande lez-3
cum-9ca0da4d1b	вкусный	gustoso		aggettivi lez-11
cum-7ffa89c721	вместе	insieme		avverbi lez-6
cum-152539d0d2	вместо	invece		domande-e-connettori
cum-f2fbdda43e	внимательно	attentamente		avverbi lez-12
cum-ad7d384a72	внук	nipote		persone-e-famiglia lez-3
cum-abec40b8f5	внучка	nipote		persone-e-famiglia lez-3
cum-b80f7560a0	во сколько	a che ora		pronomi-e-connettori lez-8
cum-5f376105a4	вода	acqua		cibo-e-bevande lez-1 lez-7
cum-e123aa1e1b	возможный	possibile		aggettivi
cum-a1e007f6a2	вокзал	stazione		luoghi-in-citta lez-4
cum-89182cabe3	волк	lupo		animali lez-14
cum-4449948ad3	волосы	capelli		corpo lez-11
cum-de3acba26d	вопрос	domanda		casa-e-oggetti lez-5
cum-38771938df	вопросы	domande		scuola-e-lingua
cum-12d563f9c3	ворон	corvo		animali lez-10
cum-1726fc7e27	воскресенье	domenica		tempo-e-date lez-10
cum-7dc9b62519	восток	est		direzioni-e-geografia lez-14
cum-f9ad913076	вот	ecco		pronomi-e-connettori lez-1
cum-c12816ac81	врач	dottore		professioni lez-2
cum-db87d0638f	времена года	stagioni		tempo-e-date lez-14
cum-b43a77c918	время	tempo		tempo-e-date lez-3 lez-8
cum-ef8ff20785	все	tutti		aggettivi lez-7
cum-8adaa82230	всегда	sempre		orari-e-frequenza lez-8
cum-7ecc16c152	встречать(ся)	incontrare		verbi
cum-e9467c08df	вся	tutta		aggettivi lez-7
cum-a990af355e	всё	tutto		aggettivi lez-7
cum-742de86686	всё / все	tutto		domande-e-connettori
cum-e8418bb080	всё в порядке	tutto ok		saluti-e-cortesia lez-2
cum-9c9e579c18	вторник	martedì		tempo-e-date lez-10
cum-762d7d64da	вчера	ieri		tempo-e-date lez-8 lez-12
cum-cc86ef708c	вы	voi		pronomi-e-connettori lez-2
cum-e079b08d92	выставка	mostra		arte-e-cultura lez-14
cum-6967d4cb53	выходной	giorno libero		tempo-e-date lez-12
cum-db90aaa6f2	выходные	weekend		tempo-e-date lez-12
cum-480a7e2055	газета	giornale		scuola-e-lingua lez-1
cum-5058cd2cbf	галстук	cravatta		abbigliamento lez-6 lez-11
cum-c9a8de2f49	где	dove		pronomi-e-connettori lez-3
cum-045f892f5d	где?	dove?		domande-e-connettori
cum-3ac1b14c8d	гитара	chitarra		musica-e-strumenti lez-14
cum-b997b69f6e	глагол	verbo		grammatica lez-12
cum-7a6b02ff4c	глаз	occhio		corpo lez-10
